puntos,atleta,medalla,coach,points
3,"CALVO GOMEZ Eva",plata,"BENITEZ MORALES Elena",6808.5
33.56,"MALAK WAHBA Hedaya",bronce,NULL,NULL
44,"ALIZADEH ZENOORIN Kimia",bronce,NULL,NULL
10.31,"OH Hye-Ri",oro,NULL,NULL
3.52,"NIARE Haby",plata,NULL,NULL
181.14,"GBAGBI Ruth Marie Christelle",bronce,NULL,NULL
30.55,"TATAR Nur",bronce,"SAHIN Ali",13590
25.46,"ZHENG Shuyin",oro,NULL,NULL
24.01,"ESPINOZA Maria del Rosario",plata,"BANG Young-In",3269
5.36,"GALLOWAY SANCHEZ Jaqueline Rose",bronce,NULL,NULL
145.91,"COOK (WALKDEN) Bianca",bronce,NULL,NULL
23.26,"WU Jingyu",oro,NULL,NULL
1.19,"ZANINOVIC Lucija",bronce,NULL,NULL
0.94,"SONKHAM Chanatip",bronce,"CHOI Young-Seok",3206
189.32,"JONES Jade",oro,NULL,NULL
30.55,"TATAR Nur",plata,"SAHIN Ali",13590
24.86,"McPHERSON Paige",bronce,NULL,NULL
53.56,"MANDIC Milica",oro,NULL,NULL
1.57,"GRAFFE Anne Caroline",plata,NULL,NULL
24.01,"ESPINOZA Maria del Rosario",bronce,"BANG Young-In",3269
1.24,"BARYSHNIKOVA Anastasia",bronce,NULL,NULL
23.26,"WU Jingyu",oro,NULL,NULL
0.83,"ZUBCIC Martina",bronce,NULL,NULL
0.99,"EPANGUE Gwladys",bronce,"MEIJER Henk",5637
